City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
190,port alfred,-33.5906,26.891,19.54,94,93,0.89,ZA,1728846192
191,itoman,26.1247,127.6694,27.01,65,0,4.63,JP,1728846193
192,port douglas,-16.4833,145.4667,22.58,82,0,2.67,AU,1728846195
193,san patricio,28.017,-97.5169,32.97,27,0,3.13,US,1728846196
194,chonchi,-42.6128,-73.8092,12.71,74,91,0.34,CL,1728846198
195,chibougamau,49.9168,-74.3659,5.79,70,100,3.6,CA,1728846145
196,keetmanshoop,-26.5833,18.1333,29.51,18,11,8.75,NA,1728846200
197,knyaze-volkonskoye,48.4642,135.4567,3.19,49,85,3.46,RU,1728846201
198,huatabampo,26.8333,-109.6333,35.09,40,0,5.56,MX,1728846202
199,ulsteinvik,62.3432,5.8487,7.09,89,100,1.34,NO,1728846203
200,ondjiva,-17.0667,15.7333,30.02,10,29,1.03,AO,1728846204
201,sakakah,29.9697,40.2064,27.76,26,0,3.48,SA,1728846205
202,ishigaki,24.3448,124.1572,27.07,83,40,4.12,JP,1728846206
203,puerto baquerizo moreno,-0.9,-89.6,24.55,88,75,6.17,EC,1728846207
204,nemuro,43.3236,145.575,10.16,65,0,2.97,JP,1728846208
205,castlebar,53.85,-9.3,8.08,91,100,3.91,IE,1728846209
206,broken hill,-31.95,141.4333,18.27,23,57,1.85,AU,1728846210
207,balvi,57.1313,27.2658,6.88,86,100,2.66,LV,1728846212
208,bad fussing,48.351,13.312,9.73,100,91,3.23,DE,1728846214
209,guatire,10.4762,-66.5427,27.92,84,100,1.34,VE,1728846215
210,mersing,2.4312,103.8405,25.95,89,20,1.54,MY,1728846216
211,nadi,-17.8,177.4167,24.0,88,75,1.03,FJ,1728846217
212,mandalgovi,45.7625,106.2708,-2.55,66,5,12.55,MN,1728846218
213,chinde,26.8212,87.7095,20.35,82,2,2.02,NP,1728846220
214,torit,4.4133,32.5678,24.11,68,23,1.72,SS,1728846221
215,markovo,57.3206,107.0881,-6.11,65,100,2.06,RU,1728846222
216,qobustan,40.0824,49.412,17.38,71,100,6.55,AZ,1728846223
217,eenhana,-17.4667,16.3333,27.13,19,75,4.57,NA,1728846224
218,kolonia,50.9333,6.95,9.42,83,0,0.51,DE,1728846157
219,mount gambier,-37.8333,140.7667,10.43,93,63,3.05,AU,1728846228
220,yanbu,24.0891,38.0637,30.02,70,0,4.12,SA,1728846133
221,revda,56.801,59.9303,-5.27,88,72,1.33,RU,1728846230
